,Unnamed: 0,user_id,condition,age,gender,edu_lvl,edu_lvl_desc,field,field_desc,exp1,exp2,exp3,exp4,exp5,exp6,train_success,avg_train_diff,flow_score,ncs_score,mental_score,temporal_score,effort_score,difficulty_score,frustration_score,performance_score,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,ncs1,ncs2,ncs3,ncs4,ncs5,ncs6,comment,cfa_flow
0,0,self-det:1,self-det,36,m,4,Master's Degree,ns3,Natural Sciences - Computer science,1,5,5,3,5,5,3,55.58445460929597,4.3,3.4,17,18,20,13,7,9,4,3,7,6,2,7,3,3,3,5,4,4,1,1,4,3,"training was fun, it helps to improve ability of solving puzzles, the lines and dots for over 7 selections confused my vision, i could hardly spot my choices were wrong (noticing 2 dots connected by a line), ",-0.8993589279820382
1,1,self-det:2,self-det,25,f,4,Master's Degree,ns1,Natural Sciences - Biology,2,4,6,4,2,5,6,58.81313509752373,4.1,3.1,14,7,6,12,2,6,4,5,7,2,3,4,3,5,4,4,2,3,2,3,3,3,"the difficulty level was intermediate , somewhat rushed",-0.5123437700293976
2,2,self-det:3,self-det,27,m,4,Master's Degree,na,Not applicable,1,6,6,6,1,3,7,50.30538017662167,4.8,3.1,13,7,11,11,3,9,5,5,7,2,5,6,5,5,5,3,3,3,3,2,4,4,", ",-0.04478904891860669
3,3,self-det:4,self-det,23,f,2,High School,ns3,Natural Sciences - Computer science,5,7,7,7,7,7,4,50.63788138789588,4.9,3.2,11,13,10,13,2,8,5,5,7,3,5,6,4,6,6,2,4,5,2,2,4,5,"For me there were no enought time to make sure the answer was correct, and if I was wrong I couldn't fix it because of lacking time after I saw red flag. Easy puzzles didn't require that much time to finish, that's why  I got more correct answers in 5 dots compared to 7 or more., I haven't seen time passing. I feel satisfied because of the intelectual work I've done, no mater if the final answers were correct.",0.18800332963258226
4,4,self-det:5,self-det,31,m,2,High School,na,Not applicable,1,5,5,7,1,7,10,48.95965166190666,5.4,2.9,12,8,7,10,0,6,7,6,6,5,5,6,5,5,5,4,2,2,4,3,2,3,", ",0.18056732609754578
5,5,self-det:6,self-det,31,m,2,High School,na,Not applicable,1,1,4,3,2,6,5,54.939520802437954,4.8,3.4,17,5,14,12,13,16,7,5,7,6,5,6,4,3,4,1,3,4,1,1,4,4,"I think I couldn't solve any puzzles that had 7 points to pick out, so for me that was quite challenging. 6 dots to finds wasn't that difficult., I felt immersed and really tried to find the right points and did my best to find the correct solution. I felt .. pushed, in the sense of something that made me focus and think about what I was doing.",-0.26393481559574417
6,6,self-det:7,self-det,35,f,3,Bachelor's Degree,h8,Humanities - Literature,5,5,7,7,3,7,3,54.75939367349458,6.5,3.2,1,4,5,9,0,12,6,7,7,7,7,7,7,6,7,4,4,4,2,2,4,5,"It was an interesting challenge and I enjoyed it. I am maybe a little slow for the timer, I definitely need to DO THE THING to learn from it before I can make the right decision., I felt fine. Challenged and interested. I was not frustrated, even when I was failing to find the solutions, because I know I would have gotten them if I had enough time.",0.9541445675801792
7,7,self-det:8,self-det,43,f,4,Master's Degree,h4,Humanities - Linguistics and languages,4,3,5,4,3,6,2,47.522262990677696,5.0,3.2,15,12,16,11,4,19,5,5,4,6,6,6,4,6,6,2,3,4,2,2,4,4,"it was quite difficult and required concentration, I thought I would be lucky if I managed to solve one or two puzzles",0.31256863250741773
8,8,self-det:9,self-det,34,f,7,Prefer not to answer,na,Not applicable,5,7,7,6,5,4,4,45.95973792686352,3.4,3.1,14,20,20,17,17,16,3,2,1,4,5,5,6,3,3,2,3,3,4,1,4,4,"Complex and little time allocated, Stressed because time went by fast. I would like to take another shot.",-0.8127800282269968
9,9,self-det:10,self-det,23,f,3,Bachelor's Degree,p8,Professions - Journalism and media,1,3,7,7,1,4,9,44.24121335859643,4.6,3.3,17,0,14,15,12,17,5,5,7,2,3,5,4,6,5,4,3,2,1,2,5,3,"Personally, I prefer to do less difficult puzzles repeatedly while I learn before doing harder ones, It was a little confusing at the beggining but once I got the hang of it I was able to perform a little better",-0.14760744058701203
